Females,percentile rank,,,,,,,
Age,3,5,10,25,50,75,90,95
4,20.74,20.87,21.08,21.41,21.78,22.14,22.46,22.66
5,20.96,21.11,21.33,21.69,22.1,22.5,22.87,23.08
6,21.17,21.33,21.56,21.96,22.41,22.85,23.26,23.5
7,21.37,21.53,21.79,22.22,22.7,23.19,23.63,23.9
8,21.56,21.73,22,22.46,22.98,23.51,23.99,24.28
9,21.73,21.92,22.21,22.7,23.25,23.82,24.34,24.65
10,21.89,22.09,22.4,22.92,23.51,24.11,24.67,25.01
11,22.04,22.25,22.57,23.12,23.75,24.39,24.98,25.34
12,22.18,22.39,22.73,23.31,23.97,24.65,25.28,25.66
13,22.29,22.53,22.88,23.49,24.19,24.9,25.55,25.95
14,22.4,22.64,23.02,23.66,24.39,25.13,25.81,26.22
15,22.48,22.74,23.14,23.81,24.57,25.34,26.05,26.47
16,22.55,22.82,23.24,23.95,24.75,25.54,26.27,26.7
17,22.59,22.89,23.33,24.08,24.91,25.73,26.46,26.9
18,22.61,22.93,23.41,24.19,25.05,25.89,26.64,27.08
